scenario,workers,iters,p50_ms,p90_ms,p99_ms,max_ms,ops_per_sec,errors
no-filter,1,100,2.317,3.143,3.612,3.612,411.2,0
no-filter,2,200,2.345,3.358,3.727,3.885,786.1,0
no-filter,4,400,2.623,3.611,3.942,4.135,1426.7,0
no-filter,8,800,3.283,4.111,4.429,4.711,2451.7,0
no-filter,16,1600,4.250,5.518,6.379,8.135,3736.5,0
no-filter,32,3200,6.933,10.988,15.073,26.701,4212.1,0
contract,1,100,0.599,19.883,45.237,45.237,176.8,0
contract,2,200,0.430,18.276,45.033,45.265,351.9,0
contract,4,400,0.418,16.092,44.968,45.982,698.1,0
contract,8,800,0.443,18.396,45.984,47.507,1367.5,0
contract,16,1600,0.520,18.771,47.163,49.434,2512.9,0
contract,32,3200,0.506,20.108,51.489,70.134,4590.2,0
topic,1,100,8.392,25.585,26.969,26.969,94.4,0
topic,2,200,8.540,25.974,26.763,27.036,169.7,0
topic,4,400,8.647,26.466,27.416,27.766,332.4,0
topic,8,800,9.144,27.135,28.672,31.057,642.0,0
topic,16,1600,9.444,28.365,30.593,31.666,1211.5,0
topic,32,3200,11.885,32.596,37.863,46.861,2036.8,0
both,1,100,0.072,0.579,45.223,45.223,1183.9,0
both,2,200,0.083,0.750,46.072,46.872,1912.8,0
both,4,400,0.080,0.843,22.061,47.781,3394.5,0
both,8,800,0.092,1.187,23.829,54.646,5889.6,0
both,16,1600,0.098,1.570,23.787,65.018,6772.0,0
both,32,3200,0.114,3.336,28.696,66.439,11509.7,0
