scenario,workers,iters,p50_ms,p90_ms,p99_ms,max_ms,ops_per_sec,errors
page=5,1,100,11.290,13.642,26.534,26.534,90.7,0
page=5,2,200,12.199,14.660,23.126,29.377,165.7,0
page=5,4,400,13.272,15.905,25.626,31.775,303.5,0
page=5,8,800,14.586,17.781,28.722,34.887,539.4,0
page=5,16,1600,16.086,19.805,31.141,42.266,976.0,0
page=5,32,3200,23.124,32.743,45.467,65.940,1295.7,0
page=20,1,100,12.177,15.711,29.964,29.964,80.1,0
page=20,2,200,12.851,15.902,29.617,29.716,153.5,0
page=20,4,400,13.605,17.620,31.823,32.589,280.4,0
page=20,8,800,14.921,19.441,33.524,37.060,494.1,0
page=20,16,1600,16.478,21.205,37.133,40.957,910.0,0
page=20,32,3200,23.606,35.457,58.098,70.057,1238.6,0
page=50,1,100,12.345,21.861,29.820,29.820,73.8,0
page=50,2,200,13.054,23.504,28.683,29.529,138.7,0
page=50,4,400,14.133,25.257,32.053,33.641,255.1,0
page=50,8,800,15.568,28.630,35.543,38.623,446.3,0
page=50,16,1600,17.328,31.665,39.111,42.582,810.3,0
page=50,32,3200,24.926,45.878,60.831,76.532,1088.7,0
page=200,1,100,20.587,27.027,40.698,40.698,50.2,0
page=200,2,200,22.677,29.511,41.665,41.806,89.1,0
page=200,4,400,24.286,32.147,44.581,46.970,159.4,0
page=200,8,800,26.902,35.367,48.200,50.572,290.4,0
page=200,16,1600,29.199,39.093,53.145,58.953,530.5,0
page=200,32,3200,42.663,61.445,80.383,106.010,726.8,0
