scenario,workers,iters,p50_ms,p90_ms,p99_ms,max_ms,ops_per_sec,errors
no-filter,1,50,5.081,5.666,6.749,6.749,193.2,0
no-filter,2,100,4.781,5.189,5.521,5.521,395.1,0
no-filter,4,200,5.040,5.645,9.846,10.623,743.7,0
no-filter,8,400,5.317,6.880,7.697,7.909,1380.5,0
no-filter,16,800,5.611,7.953,11.628,19.104,2486.1,0
no-filter,32,1600,11.433,16.387,23.418,40.725,2621.6,0
contract,1,50,0.689,8.427,13.566,13.566,437.9,0
contract,2,100,0.529,5.629,11.428,11.428,1019.5,0
contract,4,200,0.325,5.459,11.019,14.232,1817.1,0
contract,8,400,0.342,6.006,14.869,20.589,3372.0,0
contract,16,800,0.388,6.310,14.119,20.803,6354.2,0
contract,32,1600,0.385,8.085,18.335,32.487,8884.7,0
topic,1,50,4.776,6.894,13.476,13.476,186.6,0
topic,2,100,4.816,6.209,7.781,7.781,384.8,0
topic,4,200,4.968,6.547,9.025,9.947,734.2,0
topic,8,400,5.246,7.613,10.390,12.688,1377.8,0
topic,16,800,6.183,9.818,12.132,17.078,2337.9,0
topic,32,1600,12.380,19.551,27.029,42.337,2338.8,0
both,1,50,0.049,0.324,5.943,5.943,4299.4,0
both,2,100,0.040,0.350,5.382,5.382,6055.1,0
both,4,200,0.044,0.395,3.260,11.128,6702.6,0
both,8,400,0.076,0.801,9.880,15.485,10045.2,0
both,16,800,0.150,3.026,14.834,19.908,11538.2,0
both,32,1600,0.231,5.765,17.948,31.561,12860.5,0
