scenario,workers,iters,p50_ms,p90_ms,p99_ms,max_ms,ops_per_sec,errors
n=1,1,100,1.377,2.015,2.706,2.706,692.9,0
n=1,2,200,1.273,1.855,2.742,2.951,1442.7,0
n=1,4,400,1.297,1.917,2.585,3.054,2864.1,0
n=1,8,800,1.362,2.048,2.714,3.117,5384.3,0
n=1,16,1600,1.509,2.417,3.191,4.757,9500.4,0
n=1,32,3200,1.921,3.040,4.409,6.432,15334.5,0
n=10,1,100,13.257,15.000,16.645,16.645,76.3,0
n=10,2,200,13.839,15.614,17.492,18.513,144.5,0
n=10,4,400,14.268,16.434,18.302,19.639,277.2,0
n=10,8,800,16.904,20.379,23.349,24.694,464.7,0
n=10,16,1600,15.755,19.796,22.297,24.114,970.0,0
n=10,32,3200,19.498,23.542,26.262,29.463,1598.2,0
n=20,1,100,27.846,31.865,34.572,34.572,36.2,0
n=20,2,200,27.820,31.368,34.296,34.491,71.9,0
n=20,4,400,29.210,32.632,34.807,36.561,136.6,0
n=20,8,800,33.485,39.515,44.004,47.467,235.7,0
n=20,16,1600,30.150,34.829,39.070,41.681,517.5,0
n=20,32,3200,38.237,44.783,49.485,53.846,827.2,0
