scenario,workers,iters,p50_ms,p90_ms,p99_ms,max_ms,ops_per_sec,errors
page=5,1,100,11.349,13.383,26.514,26.514,91.6,0
page=5,2,200,12.391,14.559,23.388,30.595,162.2,0
page=5,4,400,13.072,15.956,25.481,31.335,303.6,0
page=5,8,800,14.499,17.426,27.325,35.957,545.7,0
page=5,16,1600,16.333,19.812,30.839,39.827,964.4,0
page=5,32,3200,23.509,33.114,47.427,68.603,1278.8,0
page=20,1,100,11.864,15.467,28.156,28.156,82.9,0
page=20,2,200,12.758,16.061,27.721,29.726,153.0,0
page=20,4,400,13.407,16.973,31.094,33.206,286.8,0
page=20,8,800,15.011,19.021,33.641,35.850,500.0,0
page=20,16,1600,16.747,21.466,37.429,41.294,889.7,0
page=20,32,3200,23.721,36.113,57.542,82.887,1205.6,0
page=50,1,100,12.248,21.271,28.535,28.535,75.1,0
page=50,2,200,12.855,22.714,28.133,28.639,141.9,0
page=50,4,400,14.050,25.060,30.892,33.179,258.1,0
page=50,8,800,15.724,28.881,34.328,37.213,446.9,0
page=50,16,1600,17.355,31.533,38.704,44.848,805.7,0
page=50,32,3200,25.021,46.389,61.825,71.372,1090.0,0
page=200,1,100,19.928,26.604,37.589,37.589,51.2,0
page=200,2,200,22.415,28.583,40.676,41.093,90.3,0
page=200,4,400,24.773,31.939,43.964,47.247,157.5,0
page=200,8,800,27.109,35.724,48.165,52.741,289.9,0
page=200,16,1600,29.707,39.489,54.685,60.206,523.7,0
page=200,32,3200,42.914,61.375,82.822,98.739,723.6,0
