workload,scenario,tier,workers,iters,p50_ms,p90_ms,p99_ms,max_ms,ops_per_sec,errors
ledger,point,hot,1,100,1.377,2.015,2.706,2.706,692.9,0
ledger,point,hot,2,200,1.273,1.855,2.742,2.951,1442.7,0
ledger,point,hot,4,400,1.302,1.937,2.585,3.054,2864.4,0
ledger,point,hot,8,800,1.355,2.116,2.708,3.122,5384.0,0
ledger,point,hot,16,1600,1.508,2.398,3.193,4.764,9500.0,0
ledger,point,hot,32,3200,1.918,2.916,4.409,6.430,15334.4,0
ledger,range-n10,hot,1,100,13.255,15.689,16.638,16.638,76.0,0
ledger,range-n10,hot,2,200,13.836,16.422,17.493,18.514,143.8,0
ledger,range-n10,hot,4,400,14.272,17.022,18.305,19.638,277.3,0
ledger,range-n10,hot,8,800,16.903,21.671,23.345,24.691,464.6,0
ledger,range-n10,hot,16,1600,15.760,20.060,22.305,24.111,969.8,0
ledger,range-n10,hot,32,3200,19.498,23.408,26.260,29.456,1597.6,0
ledger,range-n20,hot,1,100,27.851,32.001,34.572,34.572,36.3,0
ledger,range-n20,hot,2,200,27.821,31.840,34.301,34.486,72.4,0
ledger,range-n20,hot,4,400,29.207,32.811,34.808,36.560,137.3,0
ledger,range-n20,hot,8,800,33.477,42.005,44.000,47.467,236.2,0
ledger,range-n20,hot,16,1600,30.150,35.842,39.067,41.685,518.0,0
ledger,range-n20,hot,32,3200,38.236,46.041,49.479,53.847,827.2,0
ledger,point,cold,1,100,2.416,3.368,4.309,4.309,383.9,0
ledger,point,cold,2,200,2.452,3.185,3.905,4.501,764.1,0
ledger,point,cold,4,400,2.530,3.245,4.141,4.244,1480.6,0
ledger,point,cold,8,800,2.764,3.417,4.309,4.698,2708.8,0
ledger,point,cold,16,1600,3.353,4.123,4.884,5.463,4386.9,0
ledger,point,cold,32,3200,5.459,6.779,8.078,9.360,5444.2,0
ledger,range-n10,cold,1,100,15.348,19.206,22.629,22.629,64.0,0
ledger,range-n10,cold,2,200,15.363,19.083,23.229,24.278,126.8,0
ledger,range-n10,cold,4,400,15.054,18.768,21.734,22.169,260.3,0
ledger,range-n10,cold,8,800,15.420,18.689,22.897,24.276,495.9,0
ledger,range-n10,cold,16,1600,16.173,19.656,23.744,30.558,951.4,0
ledger,range-n10,cold,32,3200,24.477,34.942,41.540,50.940,1201.0,0
ledger,range-n20,cold,1,100,31.514,37.811,43.118,43.118,31.7,0
ledger,range-n20,cold,2,200,30.741,36.727,41.981,42.293,64.5,0
ledger,range-n20,cold,4,400,29.694,35.798,39.873,42.052,132.2,0
ledger,range-n20,cold,8,800,29.361,35.398,40.282,46.723,264.8,0
ledger,range-n20,cold,16,1600,30.605,36.464,42.536,52.292,505.9,0
ledger,range-n20,cold,32,3200,52.274,65.759,76.683,87.356,597.4,0
tx-hash,e2e,hot,1,100,12.421,14.566,15.736,15.736,84.5,0
tx-hash,e2e,hot,2,200,12.358,14.490,15.911,16.288,167.0,0
tx-hash,e2e,hot,4,400,12.555,14.770,16.398,17.498,320.7,0
tx-hash,e2e,hot,8,800,13.107,15.572,17.378,18.989,603.0,0
tx-hash,e2e,hot,16,1600,14.226,16.738,18.806,21.461,1115.7,0
tx-hash,e2e,hot,32,3200,21.357,28.069,34.247,47.034,1457.3,0
tx-hash,e2e,cold,1,100,13.554,15.706,16.918,16.918,76.0,0
tx-hash,e2e,cold,2,200,13.733,16.249,18.013,18.166,147.8,0
tx-hash,e2e,cold,4,400,13.821,16.351,18.221,19.255,287.5,0
tx-hash,e2e,cold,8,800,14.305,16.819,18.566,20.852,542.3,0
tx-hash,e2e,cold,16,1600,14.912,17.741,20.255,22.471,1028.0,0
tx-hash,e2e,cold,32,3200,18.410,24.014,29.181,39.034,1623.4,0
tx-page,page-5,hot,1,100,11.351,17.252,26.510,26.510,91.9,0
tx-page,page-5,hot,2,200,12.392,16.795,23.390,30.591,161.7,0
tx-page,page-5,hot,4,400,13.069,17.880,25.478,31.341,304.2,0
tx-page,page-5,hot,8,800,14.500,21.063,27.318,35.957,546.0,0
tx-page,page-5,hot,16,1600,16.331,24.110,30.838,39.831,963.6,0
tx-page,page-5,hot,32,3200,23.512,38.183,47.428,68.604,1278.6,0
tx-page,page-20,hot,1,100,11.857,17.989,28.155,28.155,82.6,0
tx-page,page-20,hot,2,200,12.762,17.853,27.717,29.732,153.4,0
tx-page,page-20,hot,4,400,13.405,21.044,31.089,33.214,286.6,0
tx-page,page-20,hot,8,800,15.007,24.072,33.640,35.847,500.4,0
tx-page,page-20,hot,16,1600,16.751,26.937,37.433,41.293,890.4,0
tx-page,page-20,hot,32,3200,23.722,42.794,57.541,82.892,1205.9,0
tx-page,page-50,hot,1,100,12.247,18.717,28.541,28.541,75.0,0
tx-page,page-50,hot,2,200,12.860,19.247,28.130,28.643,142.4,0
tx-page,page-50,hot,4,400,14.050,21.700,30.890,33.184,257.8,0
tx-page,page-50,hot,8,800,15.720,25.078,34.331,37.213,447.0,0
tx-page,page-50,hot,16,1600,17.357,27.962,38.701,44.849,805.5,0
tx-page,page-50,hot,32,3200,25.019,46.058,61.829,71.366,1089.7,0
tx-page,page-200,hot,1,100,19.931,28.480,37.590,37.590,51.4,0
tx-page,page-200,hot,2,200,22.412,30.611,40.685,41.085,90.0,0
tx-page,page-200,hot,4,400,24.769,33.581,43.961,47.255,156.5,0
tx-page,page-200,hot,8,800,27.105,37.519,48.158,52.736,290.4,0
tx-page,page-200,hot,16,1600,29.711,40.829,54.689,60.212,523.6,0
tx-page,page-200,hot,32,3200,42.911,62.969,82.819,98.741,724.0,0
tx-page,page-5,cold,1,100,11.288,16.952,26.535,26.535,91.0,0
tx-page,page-5,cold,2,200,12.198,16.583,23.131,29.378,165.5,0
tx-page,page-5,cold,4,400,13.267,17.890,25.628,31.769,302.9,0
tx-page,page-5,cold,8,800,14.591,21.470,28.722,34.890,539.4,0
tx-page,page-5,cold,16,1600,16.094,24.058,31.142,42.266,976.0,0
tx-page,page-5,cold,32,3200,23.124,38.090,45.466,65.940,1295.7,0
tx-page,page-20,cold,1,100,12.179,18.450,29.959,29.959,80.3,0
tx-page,page-20,cold,2,200,12.846,18.546,29.617,29.722,154.3,0
tx-page,page-20,cold,4,400,13.605,21.275,31.821,32.589,280.4,0
tx-page,page-20,cold,8,800,14.916,24.014,33.522,37.058,494.1,0
tx-page,page-20,cold,16,1600,16.479,26.879,37.128,40.962,909.7,0
tx-page,page-20,cold,32,3200,23.614,43.179,58.097,70.063,1239.0,0
tx-page,page-50,cold,1,100,12.354,18.768,29.820,29.820,74.3,0
tx-page,page-50,cold,2,200,13.052,19.061,28.683,29.530,138.6,0
tx-page,page-50,cold,4,400,14.131,21.831,32.045,33.640,255.0,0
tx-page,page-50,cold,8,800,15.572,25.346,35.539,38.624,446.0,0
tx-page,page-50,cold,16,1600,17.330,28.122,39.107,42.576,810.0,0
tx-page,page-50,cold,32,3200,24.929,46.026,60.831,76.527,1089.4,0
tx-page,page-200,cold,1,100,20.589,29.187,40.704,40.704,50.0,0
tx-page,page-200,cold,2,200,22.682,30.916,41.660,41.808,89.1,0
tx-page,page-200,cold,4,400,24.288,33.343,44.581,46.972,158.5,0
tx-page,page-200,cold,8,800,26.898,37.220,48.196,50.572,290.4,0
tx-page,page-200,cold,16,1600,29.196,39.851,53.145,58.948,530.4,0
tx-page,page-200,cold,32,3200,42.661,62.221,80.376,106.015,727.0,0
events,no-filter,hot,1,100,5.084,5.532,6.748,6.748,193.4,0
events,no-filter,hot,2,200,4.776,5.211,5.522,5.522,394.6,0
events,no-filter,hot,4,400,5.041,7.073,9.851,10.616,743.6,0
events,no-filter,hot,8,800,5.319,6.244,7.696,7.910,1380.8,0
events,no-filter,hot,16,1600,5.613,8.054,11.633,19.097,2485.7,0
events,no-filter,hot,32,3200,11.428,18.495,23.418,40.728,2622.4,0
events,contract,hot,1,100,0.694,12.073,13.575,13.575,438.0,0
events,contract,hot,2,200,0.527,8.671,11.433,11.433,1019.0,0
events,contract,hot,4,400,0.327,7.954,11.024,14.232,1817.3,0
events,contract,hot,8,800,0.342,11.265,14.873,20.589,3371.7,0
events,contract,hot,16,1600,0.389,11.572,14.116,20.798,6354.4,0
events,contract,hot,32,3200,0.387,13.770,18.341,32.485,8885.0,0
events,topic,hot,1,100,4.778,7.082,13.484,13.484,186.6,0
events,topic,hot,2,200,4.819,5.974,7.776,7.776,384.5,0
events,topic,hot,4,400,4.970,7.180,9.026,9.954,734.0,0
events,topic,hot,8,800,5.252,7.823,10.386,12.691,1378.4,0
events,topic,hot,16,1600,6.179,9.412,12.131,17.083,2338.0,0
events,topic,hot,32,3200,12.379,21.041,27.026,42.340,2339.0,0
events,both,hot,1,100,0.045,3.708,5.937,5.937,4298.6,0
events,both,hot,2,200,0.040,3.488,5.378,5.378,6055.0,0
events,both,hot,4,400,0.038,1.946,3.255,11.131,6702.7,0
events,both,hot,8,800,0.078,6.834,9.875,15.477,10045.0,0
events,both,hot,16,1600,0.149,10.595,14.829,19.911,11537.6,0
events,both,hot,32,3200,0.231,14.142,17.953,31.563,12860.7,0
events,no-filter,cold,1,100,2.323,3.040,3.610,3.610,411.4,0
